"time,AccPedal"
"22.68566,0"
"22.70566,0"
"22.72566,0"
"22.74566,0"
"22.76566,0"
"22.78566,0"
"22.80566,0"
"22.82566,0"
"22.84566,0"
"22.86566,0"
"22.88566,0"
"22.90566,0"
"22.92566,0"
"22.94566,0"
"22.96566,0"
"22.98566,0"
"23.00566,0"
"23.02566,0"
"23.04566,0"
"23.06566,0"
"23.08566,0"
"23.10566,0"
"23.12566,0"
"23.14566,0"
"23.16566,0"
"23.18566,0"
"23.20566,0"
"23.22566,0"
"23.24566,0"
"23.26566,0"
"23.28566,0"
"23.30566,0"
"23.32566,0"
"23.34566,0"
"23.36566,0"
"23.38566,0"
"23.40566,0"
"23.42566,0"
"23.44566,0"
"23.46566,0"
"23.48566,0"
"23.50566,0"
"23.52566,0"
"23.54566,0"
"23.56566,0"
"23.58566,0"
"23.60566,0"
"23.62566,0"
"23.64566,0"
"23.66566,0"
"23.68566,0"
"23.70566,0"
"23.72566,0"
"23.74566,0"
"23.76566,0"
"23.78566,0"
"23.80566,0"
"23.82466,0"
"23.84466,0"
"23.86466,0"
"23.88466,0"
"23.90466,0"
"23.92466,0"
"23.94466,0"
"23.96466,0"
"23.98466,0"
"24.00466,0"
"24.02466,0"
"24.04466,0"
"24.06466,0"
"24.08466,0"
"24.10466,0"
"24.12466,0"
"24.14466,0"
"24.16466,0"
"24.18466,0"
"24.20466,0"
"24.22466,0"
"24.24466,0"
"24.26466,0"
"24.28466,0"
"24.30466,0"
"24.32466,0"
"24.34466,0"
"24.36466,0"
"24.38466,0"
"24.40466,0"
"24.42466,0"
"24.44466,0"
"24.46466,0"
"24.48466,0"
"24.50466,0"
"24.52466,0"
"24.54466,0"
"24.56466,0"
"24.58466,0"
"24.60466,0"
"24.62466,0"
"24.64466,0"
"24.66466,0"
"24.68466,0"
"24.70466,0"
"24.72466,0"
"24.74466,0"
"24.76466,0"
"24.78466,0"
"24.80466,0"
"24.82466,0"
"24.84466,0"
"24.86466,0"
"24.88466,0"
"24.90466,0"
"24.92466,0"
"24.94466,0"
"24.96466,0"
"24.98466,0"
"25.00466,0"
"25.02466,0"
"25.04466,0"
"25.06466,0"
"25.08466,0"
"25.10466,0"
"25.12466,0"
"25.14466,0"
"25.16466,0"
"25.18466,0"
"25.20466,0"
"25.22466,0"
"25.24466,0"
"25.26466,0"
"25.28466,0"
"25.30466,0"
"25.32466,0"
"25.34466,0"
"25.36366,0"
"25.38366,0"
"25.40466,0"
"25.42466,0"
"25.44466,0"
"25.46466,0"
"25.48466,0"
"25.50466,0"
"25.52466,0"
"25.54466,0"
"25.56366,0"
"25.58366,0"
"25.60366,0"
"25.62366,0"
"25.64366,0"
"25.66366,0"
"25.68366,0"
"25.70366,0"
"25.72366,0"
"25.74366,0"
"25.76366,0"
"25.78366,0"
"25.80366,0"
"25.82366,0"
"25.84366,0"
"25.86366,0"
"25.88366,0"
"25.90366,0"
"25.92366,0"
"25.94366,0"
"25.96366,0"
"25.98366,0.8"
"26.00366,3.2"
"26.02366,5.2"
"26.04366,6"
"26.06366,6.4"
"26.08366,6.8"
"26.10366,6.8"
"26.12366,7.6"
"26.14366,7.6"
"26.16366,10.4"
"26.18366,12.4"
"26.20366,13.2"
"26.22366,14.8"
"26.24366,16.4"
"26.26366,18"
"26.28366,18.8"
"26.30366,19.6"
"26.32366,20.4"
"26.34366,21.2"
"26.36366,22"
"26.38366,22.4"
"26.40366,22.4"
"26.42366,22.4"
"26.44366,22.4"
"26.46366,23.2"
"26.48366,24"
"26.50366,24"
"26.52366,25.6"
"26.54366,26.8"
"26.56366,27.6"
"26.58366,28"
"26.60366,28.4"
"26.62366,28.8"
"26.64366,29.6"
"26.66366,30"
"26.68366,30"
"26.70366,30.4"
"26.72366,30.4"
"26.74366,30.4"
"26.76366,31.2"
"26.78366,32"
"26.80266,32"
"26.82266,32"
"26.84266,32"
"26.86266,32"
"26.88266,32.8"
"26.90266,32.8"
"26.92266,33.2"
"26.94266,33.2"
"26.96266,33.6"
"26.98266,34"
"27.00266,34"
"27.02266,34"
"27.04266,34"
"27.06266,34.8"
"27.08266,34.8"
"27.10266,34.8"
"27.12266,34.8"
"27.14266,34.8"
