time,DegOfDev
30.18059,0.69
30.20059,0.85
30.22059,0.98
30.24059,1
30.26059,0.91
30.28059,0.83
30.30059,0.7
30.32059,0.54
30.34059,0.38
30.36059,0.23
30.38059,0.18
30.40059,0.2
30.42059,0.16
30.44059,0.13
30.46059,0.15
30.48059,0.11
30.50059,0.16
30.52059,0.16
30.54059,0.27
30.56059,0.3
30.58059,0.46
30.60059,0.5
30.62059,0.47
30.64059,0.4
30.66059,0.2
30.68059,0.16
30.70059,0.1
30.72059,0.13
30.74059,0.25
30.76059,0.32
30.78059,0.35
30.80059,0.33
30.81959,0.31
30.84059,0.34
30.86059,0.33
30.88059,0.23
30.90059,0.25
