time,RevoPMin
312.8116,1559
312.8316,1535
312.8516,1508
312.8716,1480
312.8916,1453
312.9116,1423
312.9316,1393
312.9516,1363
312.9706,1344
312.9906,1341
313.0116,1334
313.0316,1331
313.0516,1323
313.0716,1316
313.0906,1315
313.1106,1330
313.1306,1355
313.1516,1386
313.1716,1408
313.1906,1432
313.2116,1445
313.2306,1464
313.2506,1438
313.2706,1409
313.2906,1390
313.3106,1377
313.3306,1371
313.3506,1369
313.3706,1370
313.3906,1375
313.4106,1371
313.4306,1370
313.4506,1374
313.4706,1373
313.4906,1377
313.5106,1380
313.5306,1381
313.5506,1376
313.5706,1375
313.5906,1375
313.6106,1375
313.6306,1378
313.6506,1387
313.6706,1389
313.6906,1384
313.7106,1386
313.7306,1388
313.7506,1390
313.7706,1386
313.7906,1387
313.8106,1389
313.8306,1391
313.8506,1386
313.8706,1386
313.8906,1390
313.9106,1393
313.9306,1389
313.9506,1388
313.9706,1386
313.9906,1387
314.0106,1388
314.0306,1386
314.0506,1388
314.0706,1392
314.0906,1397
314.1106,1396
314.1306,1396
314.1506,1395
314.1706,1399
314.1906,1399
314.2106,1402
314.2306,1403
314.2506,1407
314.2706,1405
314.2906,1404
314.3106,1402
314.3306,1403
314.3506,1406
314.3706,1408
314.3906,1403
314.4106,1402
314.4306,1414
314.4506,1421
314.4706,1412
314.4906,1404
314.5096,1418
314.5306,1421
314.5496,1410
314.5706,1415
314.5896,1424
314.6106,1420
314.6306,1415
314.6506,1416
314.6706,1422
314.6896,1423
314.7096,1418
314.7296,1418
314.7496,1419
314.7696,1420
314.7896,1420
314.8106,1421
314.8306,1423
314.8506,1423
314.8706,1422
314.8896,1423
